Indicator,Group,State,lat,long,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
"Delayed Medical Care, Last 4 Weeks",By Sex,United States,,,Female,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,36.2,35.3,37.1,35.3 - 37.1,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,Hispanic or Latino,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,35.2,32.9,37.5,32.9 - 37.5,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic White, single race",2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,31.4,30.8,32,30.8 - 32.0,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic Black, single race",2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,31.8,29.6,34,29.6 - 34.0,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic Asian, single race",2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,33.6,31.4,35.9,31.4 - 35.9,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic, other races and multiple races",2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,39.4,36.8,42,36.8 - 42.0,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,,,Less than a high school diploma,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,30.3,26.6,34.1,26.6 - 34.1,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,,,High school diploma or GED,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,27.2,25.9,28.6,25.9 - 28.6,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,,,Some college/Associate's degree,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,34.5,33.7,35.4,33.7 - 35.4,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,,,Bachelor's degree or higher,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,35.8,34.9,36.6,34.9 - 36.6,
"Delayed Medical Care, Last 4 Weeks",By State,Alabama,,,Alabama,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,31.5,27.3,35.8,27.3 - 35.8,31.3-33.4
"Delayed Medical Care, Last 4 Weeks",By State,Alaska,,,Alaska,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,39,35,43,35.0 - 43.0,33.5-40.3
"Delayed Medical Care, Last 4 Weeks",By State,Arizona,,,Arizona,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,32.5,29.6,35.6,29.6 - 35.6,31.3-33.4
"Delayed Medical Care, Last 4 Weeks",By State,Arkansas,,,Arkansas,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,32.5,28.6,36.7,28.6 - 36.7,31.3-33.4
"Delayed Medical Care, Last 4 Weeks",By State,California,,,California,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,37.6,35.2,40,35.2 - 40.0,33.5-40.3
"Delayed Medical Care, Last 4 Weeks",By State,Colorado,,,Colorado,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,32.6,29.7,35.5,29.7 - 35.5,31.3-33.4
"Delayed Medical Care, Last 4 Weeks",By State,Connecticut,,,Connecticut,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,34.5,31,38.2,31.0 - 38.2,33.5-40.3
"Delayed Medical Care, Last 4 Weeks",By State,Delaware,,,Delaware,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,29.7,24.8,34.9,24.8 - 34.9,29.3-31.2
"Delayed Medical Care, Last 4 Weeks",By State,District of Columbia,,,District of Columbia,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,40.3,35.1,45.7,35.1 - 45.7,33.5-40.3
"Delayed Medical Care, Last 4 Weeks",By State,Florida,,,Florida,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,33.4,30.9,35.9,30.9 - 35.9,31.3-33.4
"Delayed Medical Care, Last 4 Weeks",By State,Georgia,,,Georgia,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,35.4,31.9,39,31.9 - 39.0,33.5-40.3
"Delayed Medical Care, Last 4 Weeks",By State,Hawaii,,,Hawaii,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,35.5,30.6,40.6,30.6 - 40.6,33.5-40.3
"Delayed Medical Care, Last 4 Weeks",By State,Idaho,,,Idaho,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,30.1,26.6,33.8,26.6 - 33.8,29.3-31.2
"Delayed Medical Care, Last 4 Weeks",By State,Illinois,,,Illinois,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,33.4,30.4,36.4,30.4 - 36.4,31.3-33.4
"Delayed Medical Care, Last 4 Weeks",By State,Indiana,,,Indiana,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,29.4,26.3,32.6,26.3 - 32.6,29.3-31.2
"Delayed Medical Care, Last 4 Weeks",By State,Iowa,,,Iowa,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,29.4,25.3,33.8,25.3 - 33.8,29.3-31.2
"Delayed Medical Care, Last 4 Weeks",By State,Kansas,,,Kansas,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,28,24.7,31.4,24.7 - 31.4,22.6-29.2
"Delayed Medical Care, Last 4 Weeks",By State,Kentucky,,,Kentucky,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,29.9,26.4,33.6,26.4 - 33.6,29.3-31.2
"Delayed Medical Care, Last 4 Weeks",By State,Louisiana,,,Louisiana,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,29.7,26.2,33.5,26.2 - 33.5,29.3-31.2
"Delayed Medical Care, Last 4 Weeks",By State,Maine,,,Maine,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,30.8,26.9,34.9,26.9 - 34.9,29.3-31.2
"Delayed Medical Care, Last 4 Weeks",By State,Maryland,,,Maryland,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,33.9,31,37,31.0 - 37.0,33.5-40.3
"Delayed Medical Care, Last 4 Weeks",By State,Massachusetts,,,Massachusetts,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,33.2,30,36.4,30.0 - 36.4,31.3-33.4
"Delayed Medical Care, Last 4 Weeks",By State,Michigan,,,Michigan,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,28.5,26,31.2,26.0 - 31.2,22.6-29.2
"Delayed Medical Care, Last 4 Weeks",By State,Minnesota,,,Minnesota,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,31.2,28.5,34.1,28.5 - 34.1,29.3-31.2
"Delayed Medical Care, Last 4 Weeks",By State,Mississippi,,,Mississippi,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,31.2,27.1,35.6,27.1 - 35.6,29.3-31.2
"Delayed Medical Care, Last 4 Weeks",By State,Missouri,,,Missouri,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,26.9,24.4,29.6,24.4 - 29.6,22.6-29.2
"Delayed Medical Care, Last 4 Weeks",By State,Montana,,,Montana,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,30.6,26.4,35,26.4 - 35.0,29.3-31.2
"Delayed Medical Care, Last 4 Weeks",By State,Nebraska,,,Nebraska,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,27.1,23.2,31.2,23.2 - 31.2,22.6-29.2
"Delayed Medical Care, Last 4 Weeks",By State,Nevada,,,Nevada,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,32.7,28.7,37,28.7 - 37.0,31.3-33.4
"Delayed Medical Care, Last 4 Weeks",By State,New Hampshire,,,New Hampshire,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,30.4,27.1,34,27.1 - 34.0,29.3-31.2
"Delayed Medical Care, Last 4 Weeks",By State,New Jersey,,,New Jersey,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,36.2,32.2,40.4,32.2 - 40.4,33.5-40.3
"Delayed Medical Care, Last 4 Weeks",By State,New Mexico,,,New Mexico,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,37.3,33.3,41.4,33.3 - 41.4,33.5-40.3
"Delayed Medical Care, Last 4 Weeks",By State,New York,,,New York,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,32.8,29.3,36.4,29.3 - 36.4,31.3-33.4
"Delayed Medical Care, Last 4 Weeks",By State,North Carolina,,,North Carolina,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,29.2,25,33.7,25.0 - 33.7,22.6-29.2
"Delayed Medical Care, Last 4 Weeks",By State,North Dakota,,,North Dakota,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,25.4,20.8,30.4,20.8 - 30.4,22.6-29.2
"Delayed Medical Care, Last 4 Weeks",By State,Ohio,,,Ohio,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,29,25.6,32.6,25.6 - 32.6,22.6-29.2
"Delayed Medical Care, Last 4 Weeks",By State,Oklahoma,,,Oklahoma,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,30.2,26.6,34,26.6 - 34.0,29.3-31.2
"Delayed Medical Care, Last 4 Weeks",By State,Oregon,,,Oregon,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,38.5,35.9,41.1,35.9 - 41.1,33.5-40.3
"Delayed Medical Care, Last 4 Weeks",By State,Pennsylvania,,,Pennsylvania,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,28.6,25.8,31.6,25.8 - 31.6,22.6-29.2
"Delayed Medical Care, Last 4 Weeks",By State,Rhode Island,,,Rhode Island,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,31.7,26.9,36.9,26.9 - 36.9,31.3-33.4
"Delayed Medical Care, Last 4 Weeks",By State,South Carolina,,,South Carolina,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,31.1,26.7,35.8,26.7 - 35.8,29.3-31.2
"Delayed Medical Care, Last 4 Weeks",By State,South Dakota,,,South Dakota,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,22.6,19.7,25.8,19.7 - 25.8,22.6-29.2
"Delayed Medical Care, Last 4 Weeks",By State,Tennessee,,,Tennessee,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,27.7,24.4,31.1,24.4 - 31.1,22.6-29.2
"Delayed Medical Care, Last 4 Weeks",By State,Texas,,,Texas,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,33,30.3,35.8,30.3 - 35.8,31.3-33.4
"Delayed Medical Care, Last 4 Weeks",By State,Utah,,,Utah,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,27.9,25.5,30.4,25.5 - 30.4,22.6-29.2
"Delayed Medical Care, Last 4 Weeks",By State,Vermont,,,Vermont,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,25.2,20.6,30.4,20.6 - 30.4,22.6-29.2
"Delayed Medical Care, Last 4 Weeks",By State,Virginia,,,Virginia,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,31.5,28.4,34.7,28.4 - 34.7,31.3-33.4
"Delayed Medical Care, Last 4 Weeks",By State,Washington,,,Washington,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,35.2,32.7,37.8,32.7 - 37.8,33.5-40.3
"Delayed Medical Care, Last 4 Weeks",By State,West Virginia,,,West Virginia,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,32,27,37.3,27.0 - 37.3,31.3-33.4
"Delayed Medical Care, Last 4 Weeks",By State,Wisconsin,,,Wisconsin,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,29.5,26,33.2,26.0 - 33.2,29.3-31.2
"Delayed Medical Care, Last 4 Weeks",By State,Wyoming,,,Wyoming,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,24.9,21.1,29,21.1 - 29.0,22.6-29.2
"Did Not Get Needed Care, Last 4 Weeks",National Estimate,United States,,,United States,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,23.8,23.3,24.3,23.3 - 24.3,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,18 - 29 years,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,22,20.3,23.8,20.3 - 23.8,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,30 - 39 years,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,25.3,24.1,26.4,24.1 - 26.4,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,40 - 49 years,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,27.5,26.1,28.9,26.1 - 28.9,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,50 - 59 years,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,26.4,25.1,27.8,25.1 - 27.8,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,60 - 69 years,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,21.8,20.6,23,20.6 - 23.0,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,70 - 79 years,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,18.3,17,19.7,17.0 - 19.7,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,80 years and above,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,17.8,14.4,21.8,14.4 - 21.8,
"Did Not Get Needed Care, Last 4 Weeks",By Sex,United States,,,Male,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,21.1,20.4,21.8,20.4 - 21.8,
"Did Not Get Needed Care, Last 4 Weeks",By Sex,United States,,,Female,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,26.2,25.5,27.1,25.5 - 27.1,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,Hispanic or Latino,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,26.5,24.6,28.3,24.6 - 28.3,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic White, single race",2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,22.7,22.2,23.2,22.2 - 23.2,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic Black, single race",2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,24.9,22.5,27.5,22.5 - 27.5,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic Asian, single race",2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,20.9,18.8,23.2,18.8 - 23.2,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic, other races and multiple races",2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,31.5,29,34.1,29.0 - 34.1,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,,,Less than a high school diploma,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,22.2,19.4,25.2,19.4 - 25.2,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,,,High school diploma or GED,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,22,20.9,23.1,20.9 - 23.1,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,,,Some college/Associate's degree,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,26.4,25.6,27.2,25.6 - 27.2,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,,,Bachelor's degree or higher,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,23.3,22.7,23.9,22.7 - 23.9,
"Did Not Get Needed Care, Last 4 Weeks",By State,Alabama,,,Alabama,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,26.2,22.3,30.4,22.3 - 30.4,25.0-30.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Alaska,,,Alaska,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,26.5,22.6,30.8,22.6 - 30.8,25.0-30.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Arizona,,,Arizona,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,21.4,18.9,24.1,18.9 - 24.1,21.0-23.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Arkansas,,,Arkansas,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,26.7,23.2,30.5,23.2 - 30.5,25.0-30.2
"Did Not Get Needed Care, Last 4 Weeks",By State,California,,,California,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,27,24.9,29.1,24.9 - 29.1,25.0-30.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Colorado,,,Colorado,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,25.4,22.4,28.5,22.4 - 28.5,25.0-30.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Connecticut,,,Connecticut,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,24.8,22.4,27.4,22.4 - 27.4,23.5-24.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Delaware,,,Delaware,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,22.8,18,28.1,18.0 - 28.1,21.0-23.4
"Did Not Get Needed Care, Last 4 Weeks",By State,District of Columbia,,,District of Columbia,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,21.6,17.8,25.6,17.8 - 25.6,21.0-23.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Florida,,,Florida,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,24.7,22.4,27.2,22.4 - 27.2,23.5-24.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Georgia,,,Georgia,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,23.7,21,26.7,21.0 - 26.7,23.5-24.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Hawaii,,,Hawaii,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,24.9,21.3,28.7,21.3 - 28.7,23.5-24.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Idaho,,,Idaho,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,20.1,17.4,23,17.4 - 23.0,15.3-20.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Illinois,,,Illinois,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,22.3,19.8,24.9,19.8 - 24.9,21.0-23.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Indiana,,,Indiana,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,22.1,19,25.4,19.0 - 25.4,21.0-23.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Iowa,,,Iowa,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,20.5,16.6,25,16.6 - 25.0,15.3-20.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Kansas,,,Kansas,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,22.1,19.6,24.7,19.6 - 24.7,21.0-23.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Kentucky,,,Kentucky,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,21.3,18.3,24.5,18.3 - 24.5,21.0-23.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Louisiana,,,Louisiana,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,23.6,20.1,27.3,20.1 - 27.3,23.5-24.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Maine,,,Maine,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,20.4,16.5,24.8,16.5 - 24.8,15.3-20.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Maryland,,,Maryland,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,26,23,29.2,23.0 - 29.2,25.0-30.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Massachusetts,,,Massachusetts,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,22.7,20.3,25.2,20.3 - 25.2,21.0-23.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Michigan,,,Michigan,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,21.3,18.4,24.4,18.4 - 24.4,21.0-23.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Minnesota,,,Minnesota,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,20.7,18.1,23.5,18.1 - 23.5,15.3-20.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Mississippi,,,Mississippi,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,25,20.7,29.8,20.7 - 29.8,25.0-30.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Missouri,,,Missouri,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,20,17.4,22.8,17.4 - 22.8,15.3-20.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Montana,,,Montana,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,23.8,20.3,27.5,20.3 - 27.5,23.5-24.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Nebraska,,,Nebraska,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,20.9,17.1,25.1,17.1 - 25.1,15.3-20.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Nevada,,,Nevada,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,25.1,21.5,29.1,21.5 - 29.1,25.0-30.2
"Did Not Get Needed Care, Last 4 Weeks",By State,New Hampshire,,,New Hampshire,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,22.4,19.2,25.9,19.2 - 25.9,21.0-23.4
"Did Not Get Needed Care, Last 4 Weeks",By State,New Jersey,,,New Jersey,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,24.6,20.9,28.6,20.9 - 28.6,23.5-24.9
"Did Not Get Needed Care, Last 4 Weeks",By State,New Mexico,,,New Mexico,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,30.2,26.3,34.3,26.3 - 34.3,25.0-30.2
"Did Not Get Needed Care, Last 4 Weeks",By State,New York,,,New York,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,24.6,21.6,27.7,21.6 - 27.7,23.5-24.9
"Did Not Get Needed Care, Last 4 Weeks",By State,North Carolina,,,North Carolina,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,23.4,18.9,28.4,18.9 - 28.4,21.0-23.4
"Did Not Get Needed Care, Last 4 Weeks",By State,North Dakota,,,North Dakota,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,19.6,15.9,23.8,15.9 - 23.8,15.3-20.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Ohio,,,Ohio,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,22.1,19.1,25.3,19.1 - 25.3,21.0-23.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Oklahoma,,,Oklahoma,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,24.2,20.8,27.8,20.8 - 27.8,23.5-24.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Oregon,,,Oregon,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,28.1,25.6,30.7,25.6 - 30.7,25.0-30.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Pennsylvania,,,Pennsylvania,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,20.9,18,24.1,18.0 - 24.1,15.3-20.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Rhode Island,,,Rhode Island,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,26.7,21.5,32.4,21.5 - 32.4,25.0-30.2
"Did Not Get Needed Care, Last 4 Weeks",By State,South Carolina,,,South Carolina,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,24.4,20.4,28.9,20.4 - 28.9,23.5-24.9
"Did Not Get Needed Care, Last 4 Weeks",By State,South Dakota,,,South Dakota,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,15.3,13.1,17.8,13.1 - 17.8,15.3-20.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Tennessee,,,Tennessee,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,22,18.7,25.6,18.7 - 25.6,21.0-23.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Texas,,,Texas,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,24.2,22.2,26.3,22.2 - 26.3,23.5-24.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Utah,,,Utah,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,20,17.8,22.4,17.8 - 22.4,15.3-20.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Vermont,,,Vermont,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,16.8,12.6,21.7,12.6 - 21.7,15.3-20.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Virginia,,,Virginia,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,23.5,20.7,26.6,20.7 - 26.6,23.5-24.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Washington,,,Washington,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,24.5,22.2,26.9,22.2 - 26.9,23.5-24.9
"Did Not Get Needed Care, Last 4 Weeks",By State,West Virginia,,,West Virginia,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,26.3,21.3,31.8,21.3 - 31.8,25.0-30.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Wisconsin,,,Wisconsin,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,19.3,16.3,22.5,16.3 - 22.5,15.3-20.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Wyoming,,,Wyoming,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,20.7,17,24.8,17.0 - 24.8,15.3-20.9
"Delayed or Did Not Get Care, Last 4 Weeks",National Estimate,United States,,,United States,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,36.4,35.7,37,35.7 - 37.0,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,,,18 - 29 years,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,35.6,33.7,37.5,33.7 - 37.5,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,,,30 - 39 years,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,39.1,37.6,40.6,37.6 - 40.6,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,,,40 - 49 years,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,39.8,38.1,41.5,38.1 - 41.5,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,,,50 - 59 years,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,38.4,36.9,39.9,36.9 - 39.9,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,,,60 - 69 years,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,33.8,32.2,35.4,32.2 - 35.4,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,,,70 - 79 years,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,29.7,27.9,31.6,27.9 - 31.6,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,,,80 years and above,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,29.8,25,34.8,25.0 - 34.8,
"Delayed or Did Not Get Care, Last 4 Weeks",By Sex,United States,,,Male,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,32.3,31.4,33.1,31.4 - 33.1,
"Delayed or Did Not Get Care, Last 4 Weeks",By Sex,United States,,,Female,2,15,Sep 16 - Sep 28,09/16/2020,09/28/2020,40.1,39.2,41.1,39.2 - 41.1,
